permission_id,name_TH,name_EN,updated_at,created_at,group_name_TH,group_name_EN,sequence
READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,หน้าแรก,Home,0
EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,หน้าแรก,Home,0
CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,หน้าแรก,Home,0
DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,หน้าแรก,Home,0
DASHBOARD_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,แดชบอร์ด,Dashboard,1
DASHBOARD_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,แดชบอร์ด,Dashboard,1
DASHBOARD_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,แดชบอร์ด,Dashboard,1
DASHBOARD_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,แดชบอร์ด,Dashboard,1
APPOINTMENT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,นัดหมาย,Appointment,6
APPOINTMENT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,นัดหมาย,Appointment,6
APPOINTMENT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,นัดหมาย,Appointment,6
APPOINTMENT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,นัดหมาย,Appointment,6
REPORT-ACCOUNT_SALES-DISCOUNT-END-BILL_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานส่วนลด,[Acc] Discount Report,44
REPORT-ACCOUNT_SALES-DISCOUNT-END-BILL_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานส่วนลด,[Acc] Discount Report,44
REPORT-ACCOUNT_SALES-DISCOUNT-END-BILL_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานส่วนลด,[Acc] Discount Report,44
REPORT-ACCOUNT_SALES-DISCOUNT-END-BILL_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานส่วนลด,[Acc] Discount Report,44
REPORT-ACCOUNT_TRANSFER-PRODUCT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานโอนย้ายสินค้า,[Acc] Product Transfer Report,42
REPORT-ACCOUNT_TRANSFER-PRODUCT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานโอนย้ายสินค้า,[Acc] Product Transfer Report,42
REPORT-ACCOUNT_TRANSFER-PRODUCT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานโอนย้ายสินค้า,[Acc] Product Transfer Report,42
REPORT-ACCOUNT_TRANSFER-PRODUCT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานโอนย้ายสินค้า,[Acc] Product Transfer Report,42
REPORT-ACCOUNT_COURSE-BALANCE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานคอร์สคงเหลือ,[Acc] Course Report,45
REPORT-ACCOUNT_COURSE-BALANCE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานคอร์สคงเหลือ,[Acc] Course Report,45
REPORT-ACCOUNT_COURSE-BALANCE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานคอร์สคงเหลือ,[Acc] Course Report,45
REPORT-ACCOUNT_COURSE-BALANCE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานคอร์สคงเหลือ,[Acc] Course Report,45
REPORT-ACCOUNT_RECEIPT-PRODUCT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานรับสินค้า,[Acc] Product Receipt Report,41
REPORT-ACCOUNT_RECEIPT-PRODUCT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานรับสินค้า,[Acc] Product Receipt Report,41
REPORT-ACCOUNT_RECEIPT-PRODUCT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานรับสินค้า,[Acc] Product Receipt Report,41
REPORT-ACCOUNT_RECEIPT-PRODUCT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานรับสินค้า,[Acc] Product Receipt Report,41
REPORT-ACCOUNT_RECEIPT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน,[Acc] Receipt Report,37
REPORT-ACCOUNT_RECEIPT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน,[Acc] Receipt Report,37
REPORT-ACCOUNT_RECEIPT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน,[Acc] Receipt Report,37
REPORT-ACCOUNT_RECEIPT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน,[Acc] Receipt Report,37
REPORT-ACCOUNT_NOTI_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานเตือนล่วงหน้า,[Acc] Notification Report,40
REPORT-ACCOUNT_NOTI_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานเตือนล่วงหน้า,[Acc] Notification Report,40
REPORT-ACCOUNT_NOTI_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานเตือนล่วงหน้า,[Acc] Notification Report,40
REPORT-ACCOUNT_NOTI_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานเตือนล่วงหน้า,[Acc] Notification Report,40
REPORT-ACCOUNT_RECEIPT-WALLET_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน wallet,[Acc] Wallet Receipt Report,47
REPORT-ACCOUNT_RECEIPT-WALLET_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน wallet,[Acc] Wallet Receipt Report,47
REPORT-ACCOUNT_RECEIPT-WALLET_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน wallet,[Acc] Wallet Receipt Report,47
REPORT-ACCOUNT_RECEIPT-WALLET_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบเสร็จรับเงิน wallet,[Acc] Wallet Receipt Report,47
REPORT-ACCOUNT_SALE-ORDER_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบรายการขาย,[Acc] Sale Order Report,38
REPORT-ACCOUNT_SALE-ORDER_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบรายการขาย,[Acc] Sale Order Report,38
REPORT-ACCOUNT_SALE-ORDER_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบรายการขาย,[Acc] Sale Order Report,38
REPORT-ACCOUNT_SALE-ORDER_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบรายการขาย,[Acc] Sale Order Report,38
REPORT-ACCOUNT_PURCHASE-COURSE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบตัดคอร์ส,[Acc] Service Usage Report,39
REPORT-ACCOUNT_PURCHASE-COURSE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบตัดคอร์ส,[Acc] Service Usage Report,39
REPORT-ACCOUNT_PURCHASE-COURSE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบตัดคอร์ส,[Acc] Service Usage Report,39
REPORT-ACCOUNT_PURCHASE-COURSE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานใบตัดคอร์ส,[Acc] Service Usage Report,39
REPORT-ACCOUNT_OVERDUE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยอดค้าง,[Acc] Overdue Report,46
REPORT-ACCOUNT_OVERDUE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยอดค้าง,[Acc] Overdue Report,46
REPORT-ACCOUNT_OVERDUE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยอดค้าง,[Acc] Overdue Report,46
REPORT-ACCOUNT_OVERDUE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยอดค้าง,[Acc] Overdue Report,46
REPORT-ACCOUNT_SALES-DRUG-PRODUCT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยาและผลิตภัณฑ์,[Acc] Drug Product Report,43
REPORT-ACCOUNT_SALES-DRUG-PRODUCT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยาและผลิตภัณฑ์,[Acc] Drug Product Report,43
REPORT-ACCOUNT_SALES-DRUG-PRODUCT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยาและผลิตภัณฑ์,[Acc] Drug Product Report,43
REPORT-ACCOUNT_SALES-DRUG-PRODUCT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,[บัญชี] รายงานยาและผลิตภัณฑ์,[Acc] Drug Product Report,43
REPORT-ACCOUNT_DOWNLOAD_REPORT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ดาวน์โหลดรายงาน (เพิ่มเติม),Download Report,74
COURSE_READ,ดูคอร์ส,read couse,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,คอร์ส,Course,18
COURSE_EDIT,แก้ไขคอร์ส,edit couse,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,คอร์ส,Course,18
COURSE_CREATE,สร้างคอร์ส,create couse,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,คอร์ส,Course,18
COURSE_DELETE,ลบคอร์ส,delete couse,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,คอร์ส,Course,18
APPOINTMENT-REMIND_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เตือนการนัดหมาย,Appointment Remind,7
APPOINTMENT-REMIND_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เตือนการนัดหมาย,Appointment Remind,7
APPOINTMENT-REMIND_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เตือนการนัดหมาย,Appointment Remind,7
APPOINTMENT-REMIND_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เตือนการนัดหมาย,Appointment Remind,7
OPD_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Opd,Opd,10
OPD_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Opd,Opd,10
OPD_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Opd,Opd,10
OPD_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Opd,Opd,10
PRODUCTTRANSFER_READ,ดูใบโอนย้าย,read transfer,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบโอนย้าย,Transfer Order,16
PRODUCTTRANSFER_EDIT,แก้ไขใบโอนย้าย,edit transfer,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบโอนย้าย,Transfer Order,16
PRODUCTTRANSFER_CREATE,สร้างใบโอนย้าย,create transfer,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบโอนย้าย,Transfer Order,16
PRODUCTTRANSFER_DELETE,ลบใบโอนย้าย,delete transfer,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบโอนย้าย,Transfer Order,16
PRODUCTRECEIVE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรับสินค้า,Receive Order,15
PRODUCTRECEIVE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรับสินค้า,Receive Order,15
PRODUCTRECEIVE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรับสินค้า,Receive Order,15
PRODUCTRECEIVE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรับสินค้า,Receive Order,15
DRUGS_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ยา,Drug,19
DRUGS_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ยา,Drug,19
DRUGS_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ยา,Drug,19
DRUGS_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ยา,Drug,19
PRODUCT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ผลิตภัณฑ์,Product,20
PRODUCT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ผลิตภัณฑ์,Product,20
PRODUCT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ผลิตภัณฑ์,Product,20
PRODUCT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ผลิตภัณฑ์,Product,20
RECEIPT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบเสร็จรับเงิน,Receipt,12
RECEIPT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบเสร็จรับเงิน,Receipt,12
RECEIPT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบเสร็จรับเงิน,Receipt,12
RECEIPT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบเสร็จรับเงิน,Receipt,12
DISPENSING_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,จ่ายยา,Dispensing,9
DISPENSING_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,จ่ายยา,Dispensing,9
DISPENSING_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,จ่ายยา,Dispensing,9
DISPENSING_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,จ่ายยา,Dispensing,9
CONSUMABLE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ของใช้สิ้นเปลือง,Consumable,24
CONSUMABLE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ของใช้สิ้นเปลือง,Consumable,24
CONSUMABLE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ของใช้สิ้นเปลือง,Consumable,24
CONSUMABLE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ของใช้สิ้นเปลือง,Consumable,24
VOUCHER_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Voucher,Voucher,5
VOUCHER_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Voucher,Voucher,5
VOUCHER_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Voucher,Voucher,5
VOUCHER_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,Voucher,Voucher,5
MEDICINE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เวชภัณฑ์,Medicine,22
MEDICINE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เวชภัณฑ์,Medicine,22
MEDICINE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เวชภัณฑ์,Medicine,22
MEDICINE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,เวชภัณฑ์,Medicine,22
TREATMENT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ตรวจรักษา,Treatment,8
TREATMENT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ตรวจรักษา,Treatment,8
TREATMENT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ตรวจรักษา,Treatment,8
TREATMENT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ตรวจรักษา,Treatment,8
WALLET_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,วอลเล็ท,Wallet,4
WALLET_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,วอลเล็ท,Wallet,4
WALLET_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,วอลเล็ท,Wallet,4
WALLET_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,วอลเล็ท,Wallet,4
SALE-ORDER_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรายการขาย,Sale Order,11
SALE-ORDER_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรายการขาย,Sale Order,11
SALE-ORDER_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรายการขาย,Sale Order,11
SALE-ORDER_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,ใบรายการขาย,Sale Order,11
SALE-ORDER_APPROVAL_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,อนุมัติส่วนลด,Discount Aprroval,61
SALE-ORDER_APPROVAL_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,อนุมัติส่วนลด,Discount Aprroval,61
SALE-ORDER_APPROVAL_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,อนุมัติส่วนลด,Discount Aprroval,61
SALE-ORDER_APPROVAL_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,อนุมัติส่วนลด,Discount Aprroval,61
REPORT_COMMISSION_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานคอมมิชชั่น,Commission Report,25
REPORT_COMMISSION_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานคอมมิชชั่น,Commission Report,25
REPORT_COMMISSION_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานคอมมิชชั่น,Commission Report,25
REPORT_COMMISSION_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานคอมมิชชั่น,Commission Report,25
REPORT_USE-COURSE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานใช้คอร์ส,Used Course Report,36
REPORT_USE-COURSE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานใช้คอร์ส,Used Course Report,36
REPORT_USE-COURSE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานใช้คอร์ส,Used Course Report,36
REPORT_USE-COURSE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานใช้คอร์ส,Used Course Report,36
REPORT_SALES_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายของเซลล์,Sales Report,35
REPORT_SALES_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายของเซลล์,Sales Report,35
REPORT_SALES_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายของเซลล์,Sales Report,35
REPORT_SALES_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายของเซลล์,Sales Report,35
REPORT_POINT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานแต้มสะสม,Point Report,32
REPORT_POINT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานแต้มสะสม,Point Report,32
REPORT_POINT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานแต้มสะสม,Point Report,32
REPORT_POINT_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานแต้มสะสม,Point Report,32
REPORT_PRODUCT-SALE_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายใช้สินค้า,Product Report,33
REPORT_PRODUCT-SALE_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายใช้สินค้า,Product Report,33
REPORT_PRODUCT-SALE_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายใช้สินค้า,Product Report,33
REPORT_PRODUCT-SALE_DELETE,ลบ,delete,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานขายใช้สินค้า,Product Report,33
REPORT_REMAINING-PRODUCT_READ,ดู,read,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานสินค้าคงเหลือ,Remaining Product Report,30
REPORT_REMAINING-PRODUCT_EDIT,แก้ไข,edit,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานสินค้าคงเหลือ,Remaining Product Report,30
REPORT_REMAINING-PRODUCT_CREATE,สร้าง,create,2023-09-09 03:42:31.381177,2023-09-09 03:42:31.381177,รายงานสินค้าคงเหลือ,Remaining Product Report,30
